Unnamed: 0,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away,Home_Prob,Away_Prob,Home_Odds,Away_Odds,weekday,home_score,away_score,attendance,overtime,remarks
0,10-28,Philadelphia 76ers,Detroit Pistons,211.5,5.5,-100000,8500,212,8,2,3,0.001,0.0117647058823529,1000.0,85.0,Thursday,110,102,17341,,
0,10-28,Chicago Bulls,New York Knicks,209.5,-2.5,460,-710,207,-1,3,2,0.2173913043478261,0.1408450704225352,4.6,7.1,Thursday,103,104,17341,,
0,10-28,Houston Rockets,Utah Jazz,216.5,-32.5,3500,-50000,213,-31,2,2,0.0285714285714285,0.002,35.0,500.0,Thursday,91,122,17341,,
0,10-28,Dallas Mavericks,San Antonio Spurs,205.5,3.5,-970,570,203,5,2,2,0.1030927835051546,0.175438596491228,9.7,5.7,Thursday,104,99,17341,,
0,10-28,Golden State Warriors,Memphis Grizzlies,206.5,1.5,-240,186,205,-3,2,1,0.4166666666666667,0.5376344086021505,2.4,1.86,Thursday,101,104,17341,OT,
0,10-29,Toronto Raptors,Orlando Magic,221.5,4.5,-5999,1300,219,1,2,2,0.0166694449074845,0.0769230769230769,59.99000000000001,13.0,Friday,110,109,17341,,
0,10-29,Brooklyn Nets,Indiana Pacers,201.5,9.5,-100000,6500,203,7,2,2,0.001,0.0153846153846153,1000.0,65.0,Friday,105,98,17341,,
0,10-29,Miami Heat,Charlotte Hornets,214.5,11.5,-50000,3500,213,15,2,2,0.002,0.0285714285714285,500.0,35.0,Friday,114,99,17341,,
0,10-29,New Orleans Pelicans,Sacramento Kings,216.5,-4.5,2500,-20000,222,-4,2,2,0.04,0.005,25.0,200.0,Friday,109,113,17341,,
0,10-29,Portland Trail Blazers,Los Angeles Clippers,198.5,14.5,-50000,3500,203,19,2,2,0.002,0.0285714285714285,500.0,35.0,Friday,111,92,17341,,
0,10-29,Denver Nuggets,Dallas Mavericks,183.5,27.5,-100000,8500,181,31,3,1,0.001,0.0117647058823529,1000.0,85.0,Friday,106,75,17341,,
0,10-29,Los Angeles Lakers,Cleveland Cavaliers,215.5,12.5,-50000,3500,214,12,2,2,0.002,0.0285714285714285,500.0,35.0,Friday,113,101,17341,,
0,10-30,Washington Wizards,Boston Celtics,218.5,2.5,-610,410,227,3,2,3,0.1639344262295082,0.2439024390243902,6.1,4.1,Saturday,115,112,17341,2OT,
0,10-30,New Orleans Pelicans,New York Knicks,236.5,-6.5,4000,-50000,240,-6,1,2,0.025,0.002,40.0,500.0,Saturday,117,123,17341,,
0,10-30,Detroit Pistons,Orlando Magic,203.5,10.5,-100000,8500,213,7,2,1,0.001,0.0117647058823529,1000.0,85.0,Saturday,110,103,17341,,
0,10-30,Indiana Pacers,Toronto Raptors,184.5,-4.5,420,-630,191,-3,1,1,0.238095238095238,0.1587301587301587,4.2,6.300000000000001,Saturday,94,97,17341,,
0,10-30,Philadelphia 76ers,Atlanta Hawks,213.5,28.5,-100000,8500,216,28,2,2,0.001,0.0117647058823529,1000.0,85.0,Saturday,122,94,17341,,
0,10-30,Milwaukee Bucks,San Antonio Spurs,189.5,-9.5,2200,-20000,195,-9,3,2,0.0454545454545454,0.005,22.0,200.0,Saturday,93,102,17341,,
0,10-30,Chicago Bulls,Utah Jazz,208.5,6.5,-100000,5000,206,8,2,2,0.001,0.02,1000.0,50.0,Saturday,107,99,17341,,
0,10-30,Memphis Grizzlies,Miami Heat,236.5,-20.5,8500,-100000,232,-26,2,1,0.0117647058823529,0.001,85.0,1000.0,Saturday,103,129,17341,,
0,10-30,Golden State Warriors,Oklahoma City Thunder,185.5,28.5,-100000,8500,185,21,2,3,0.001,0.0117647058823529,1000.0,85.0,Saturday,103,82,17341,,
0,10-30,Minnesota Timberwolves,Denver Nuggets,197.5,3.5,-240,186,184,-2,3,1,0.4166666666666667,0.5376344086021505,2.4,1.86,Saturday,91,93,17341,,
0,10-30,Phoenix Suns,Cleveland Cavaliers,186.5,12.5,-50000,3500,193,9,3,1,0.002,0.0285714285714285,500.0,35.0,Saturday,101,92,17341,,
0,10-31,Dallas Mavericks,Sacramento Kings,201.5,5.5,-100000,6500,204,6,2,2,0.001,0.0153846153846153,1000.0,65.0,Sunday,105,99,17341,,
0,10-31,Charlotte Hornets,Portland Trail Blazers,238.5,6.5,-2200,920,238,12,2,2,0.0454545454545454,0.108695652173913,22.0,9.2,Sunday,125,113,17341,,
0,10-31,Milwaukee Bucks,Utah Jazz,202.5,-5.5,980,-2500,202,-12,1,1,0.1020408163265306,0.04,9.8,25.0,Sunday,95,107,17341,,
0,10-31,Brooklyn Nets,Detroit Pistons,212.5,26.5,-50000,3500,208,26,2,1,0.002,0.0285714285714285,500.0,35.0,Sunday,117,91,17341,,
0,10-31,Los Angeles Lakers,Houston Rockets,182.5,12.5,-50000,3500,180,10,2,3,0.002,0.0285714285714285,500.0,35.0,Sunday,95,85,17341,,
0,11-01,Philadelphia 76ers,Portland Trail Blazers,223.5,4.5,-730,470,216,10,2,1,0.136986301369863,0.2127659574468085,7.300000000000001,4.7,Monday,113,103,13889,,
0,11-01,Charlotte Hornets,Cleveland Cavaliers,222.5,-3.5,245,-325,223,-3,1,2,0.4081632653061224,0.3076923076923077,2.45,3.25,Monday,110,113,13889,,
0,11-01,Indiana Pacers,San Antonio Spurs,239.5,18.5,-50000,3500,249,13,2,2,0.002,0.0285714285714285,500.0,35.0,Monday,131,118,13889,,
0,11-01,New York Knicks,Toronto Raptors,214.5,-9.5,8500,-100000,217,-9,2,2,0.0117647058823529,0.001,85.0,1000.0,Monday,104,113,13889,,
0,11-01,Boston Celtics,Chicago Bulls,242.5,-12.5,1400,-8000,242,-14,2,2,0.0714285714285714,0.0125,14.0,80.0,Monday,114,128,13889,,
0,11-01,Atlanta Hawks,Washington Wizards,224.5,8.5,-50000,3000,229,7,2,2,0.002,0.0333333333333333,500.0,30.0,Monday,118,111,13889,,
0,11-01,Memphis Grizzlies,Denver Nuggets,206.5,11.5,-20000,2800,203,9,2,2,0.005,0.0357142857142857,200.0,28.0,Monday,106,97,13889,,
0,11-01,Minnesota Timberwolves,Orlando Magic,210.5,-10.5,5000,-100000,212,-18,2,2,0.02,0.001,50.0,1000.0,Monday,97,115,13889,,
0,11-01,Los Angeles Clippers,Oklahoma City Thunder,193.5,4.5,-100000,8500,193,5,3,2,0.001,0.0117647058823529,1000.0,85.0,Monday,99,94,13889,,
0,11-02,Detroit Pistons,Milwaukee Bucks,205.5,-29.5,8500,-100000,206,-28,2,2,0.0117647058823529,0.001,85.0,1000.0,Tuesday,89,117,13889,,
0,11-02,Dallas Mavericks,Miami Heat,232.5,-16.5,3500,-50000,235,-15,2,3,0.0285714285714285,0.002,35.0,500.0,Tuesday,110,125,13889,,
0,11-02,Utah Jazz,Sacramento Kings,231.5,5.5,-50000,3500,232,6,2,2,0.002,0.0285714285714285,500.0,35.0,Tuesday,119,113,13889,,
0,11-02,Phoenix Suns,New Orleans Pelicans,213.5,8.5,-100000,8500,212,12,3,3,0.001,0.0117647058823529,1000.0,85.0,Tuesday,112,100,13889,,
0,11-02,Los Angeles Lakers,Houston Rockets,236.5,1.5,-580,390,236,2,2,2,0.1724137931034483,0.2564102564102564,5.8,3.9,Tuesday,119,117,13889,,
0,11-03,Washington Wizards,Toronto Raptors,210.5,-10.5,8500,-100000,209,-9,2,2,0.0117647058823529,0.001,85.0,1000.0,Wednesday,100,109,13889,,
0,11-03,Cleveland Cavaliers,Portland Trail Blazers,212.5,4.5,-1350,700,211,3,2,2,0.074074074074074,0.1428571428571428,13.5,7.0,Wednesday,107,104,13889,,
0,11-03,Philadelphia 76ers,Chicago Bulls,201.5,4.5,-20000,2000,201,5,2,2,0.005,0.05,200.0,20.0,Wednesday,103,98,13889,,
0,11-03,Indiana Pacers,New York Knicks,215.5,13.5,-100000,8500,209,13,2,2,0.001,0.0117647058823529,1000.0,85.0,Wednesday,111,98,13889,,
0,11-03,Orlando Magic,Boston Celtics,170.5,-19.5,3500,-50000,171,-13,2,2,0.0285714285714285,0.002,35.0,500.0,Wednesday,79,92,13889,,
0,11-03,Brooklyn Nets,Atlanta Hawks,226.5,12.5,-100000,8500,225,9,3,2,0.001,0.0117647058823529,1000.0,85.0,Wednesday,117,108,13889,,
0,11-03,Memphis Grizzlies,Denver Nuggets,216.5,2.5,-350,260,214,2,2,2,0.2857142857142857,0.3846153846153846,3.5,2.6,Wednesday,108,106,13889,,
0,11-03,Minnesota Timberwolves,Los Angeles Clippers,241.5,-8.5,2200,-20000,241,-11,2,2,0.0454545454545454,0.005,22.0,200.0,Wednesday,115,126,13889,,
0,11-03,San Antonio Spurs,Dallas Mavericks,217.5,-0.5,590,-1000,217,-1,2,1,0.1694915254237288,0.1,5.9,10.0,Wednesday,108,109,13889,,
0,11-03,Golden State Warriors,Charlotte Hornets,208.5,15.5,-50000,3500,206,22,4,2,0.002,0.0285714285714285,500.0,35.0,Wednesday,114,92,13889,,
0,11-03,Sacramento Kings,New Orleans Pelicans,211.5,13.5,-50000,3500,211,13,1,1,0.002,0.0285714285714285,500.0,35.0,Wednesday,112,99,13889,,
0,11-04,Detroit Pistons,Philadelphia 76ers,209.5,-11.5,8500,-100000,207,-11,2,1,0.0117647058823529,0.001,85.0,1000.0,Thursday,98,109,13889,,
0,11-04,Miami Heat,Boston Celtics,174.5,-19.5,8500,-100000,173,-17,2,1,0.0117647058823529,0.001,85.0,1000.0,Thursday,78,95,13889,,
0,11-04,Atlanta Hawks,Utah Jazz,217.5,-19.5,3500,-50000,214,-18,1,2,0.0285714285714285,0.002,35.0,500.0,Thursday,98,116,13889,,
0,11-04,Phoenix Suns,Houston Rockets,231.5,12.5,-50000,3500,234,12,2,2,0.002,0.0285714285714285,500.0,35.0,Thursday,123,111,13889,,
0,11-04,Los Angeles Lakers,Oklahoma City Thunder,211.5,-2.5,430,-650,211,-3,2,3,0.2325581395348837,0.1538461538461538,4.3,6.5,Thursday,104,107,13889,,
0,11-05,Detroit Pistons,Brooklyn Nets,185.5,-4.5,3000,-50000,186,-6,1,2,0.0333333333333333,0.002,30.0,500.0,Friday,90,96,13889,,
0,11-05,Orlando Magic,San Antonio Spurs,191.5,-13.5,8500,-100000,191,-13,2,2,0.0117647058823529,0.001,85.0,1000.0,Friday,89,102,13889,,
0,11-05,Washington Wizards,Memphis Grizzlies,206.5,22.5,-100000,8500,202,28,2,2,0.001,0.0117647058823529,1000.0,85.0,Friday,115,87,13889,,
0,11-05,Toronto Raptors,Cleveland Cavaliers,203.5,-0.5,162,-205,203,-1,2,2,0.6172839506172839,0.4878048780487805,1.62,2.05,Friday,101,102,13889,,
0,11-05,Milwaukee Bucks,New York Knicks,210.5,-18.5,3500,-50000,211,-15,3,2,0.0285714285714285,0.002,35.0,500.0,Friday,98,113,13889,,
0,11-05,Minnesota Timberwolves,Los Angeles Clippers,191.5,-16.5,3500,-50000,188,-20,2,2,0.0285714285714285,0.002,35.0,500.0,Friday,84,104,13889,,
0,11-05,Golden State Warriors,New Orleans Pelicans,210.5,40.5,-100000,8500,211,41,2,2,0.001,0.0117647058823529,1000.0,85.0,Friday,126,85,13889,,
0,11-05,Sacramento Kings,Charlotte Hornets,248.5,27.5,-50000,3500,250,30,2,2,0.002,0.0285714285714285,500.0,35.0,Friday,140,110,13889,,
0,11-05,Portland Trail Blazers,Indiana Pacers,218.5,3.5,-450,320,216,4,2,2,0.2222222222222222,0.3125,4.5,3.2,Friday,110,106,13889,,
0,11-06,Denver Nuggets,Houston Rockets,196.5,1.5,-260,200,189,1,3,2,0.3846153846153846,0.5,2.6,2.0,Saturday,95,94,13889,,
0,11-06,Miami Heat,Utah Jazz,231.5,2.5,-1250,680,233,3,2,2,0.08,0.1470588235294117,12.5,6.8,Saturday,118,115,13889,,
0,11-06,Chicago Bulls,Philadelphia 76ers,217.5,-8.5,2500,-20000,219,-9,3,2,0.04,0.005,25.0,200.0,Saturday,105,114,13889,,
0,11-06,Dallas Mavericks,Boston Celtics,214.5,-1.5,122,-152,211,3,3,2,0.819672131147541,0.6578947368421053,1.22,1.5199999999999998,Saturday,107,104,13889,,
0,11-06,Phoenix Suns,Atlanta Hawks,235.5,4.5,-50000,3500,238,4,2,2,0.002,0.0285714285714285,500.0,35.0,Saturday,121,117,13889,,
0,11-06,Portland Trail Blazers,Los Angeles Lakers,188.5,21.5,-50000,3500,195,15,1,2,0.002,0.0285714285714285,500.0,35.0,Saturday,105,90,13889,,
0,11-07,Toronto Raptors,Brooklyn Nets,221.5,-8.5,6000,-100000,219,-13,2,2,0.0166666666666666,0.001,60.0,1000.0,Sunday,103,116,13889,,
0,11-07,Washington Wizards,Milwaukee Bucks,197.5,4.5,-3500,1120,195,7,2,2,0.0285714285714285,0.0892857142857142,35.0,11.2,Sunday,101,94,13889,,
0,11-07,Sacramento Kings,Indiana Pacers,185.5,-2.5,720,-1400,185,-3,2,2,0.1388888888888889,0.0714285714285714,7.199999999999999,14.0,Sunday,91,94,13889,,
0,11-07,New York Knicks,Cleveland Cavaliers,237.5,-10.5,3000,-50000,235,-17,2,2,0.0333333333333333,0.002,30.0,500.0,Sunday,109,126,13889,,
0,11-07,Orlando Magic,Utah Jazz,207.5,4.5,-8000,1400,207,7,2,1,0.0125,0.0714285714285714,80.0,14.0,Sunday,107,100,13889,,
0,11-07,Oklahoma City Thunder,San Antonio Spurs,193.5,4.5,-50000,4000,193,5,3,2,0.002,0.025,500.0,40.0,Sunday,99,94,13889,,
0,11-07,Golden State Warriors,Houston Rockets,229.5,14.5,-100000,8500,227,13,2,1,0.001,0.0117647058823529,1000.0,85.0,Sunday,120,107,13889,,
0,11-07,Los Angeles Clippers,Charlotte Hornets,226.5,14.5,-50000,3500,226,14,2,2,0.002,0.0285714285714285,500.0,35.0,Sunday,120,106,13889,,
0,11-08,Philadelphia 76ers,New York Knicks,198.5,-10.5,-186,156,199,-7,2,1,0.5376344086021505,0.641025641025641,1.86,1.56,Monday,96,103,13889,,
0,11-08,Memphis Grizzlies,Minnesota Timberwolves,243.5,4.5,-245,200,243,7,3,3,0.4081632653061224,0.5,2.45,2.0,Monday,125,118,13889,OT,
0,11-08,Chicago Bulls,Brooklyn Nets,212.5,17.5,-116,-102,213,23,2,1,0.8620689655172414,0.9803921568627452,1.16,1.02,Monday,118,95,13889,,
0,11-08,Dallas Mavericks,New Orleans Pelicans,202.5,10.5,-350,280,200,16,2,3,0.2857142857142857,0.3571428571428571,3.5,2.8,Monday,108,92,13889,,
0,11-08,Denver Nuggets,Miami Heat,207.5,14.5,-50000,2500,209,17,2,2,0.002,0.04,500.0,25.0,Monday,113,96,13889,,
0,11-08,Golden State Warriors,Atlanta Hawks,241.5,17.5,-100000,2500,240,14,1,2,0.001,0.04,1000.0,25.0,Monday,127,113,13889,,
0,11-08,Sacramento Kings,Phoenix Suns,213.5,-4.5,2500,-100000,213,-5,1,2,0.04,0.001,25.0,1000.0,Monday,104,109,13889,,
0,11-08,Los Angeles Lakers,Charlotte Hornets,252.5,1.5,-172,136,249,3,2,1,0.5813953488372093,0.7352941176470588,1.72,1.36,Monday,126,123,13889,OT,
0,11-09,Philadelphia 76ers,Milwaukee Bucks,231.5,-8.5,2000,-50000,227,-9,1,2,0.05,0.002,20.0,500.0,Tuesday,109,118,13889,,
0,11-09,Utah Jazz,Atlanta Hawks,208.5,11.5,-50000,2000,208,12,2,1,0.002,0.05,500.0,20.0,Tuesday,110,98,13889,,
