date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
2023-11-06T19:00:00,Monday,Indiana Pacers,152.0,San Antonio Spurs,111.0,16912.0,,
2023-11-06T19:00:00,Monday,Detroit Pistons,109.0,Golden State Warriors,120.0,16912.0,,
2023-11-06T19:00:00,Monday,Orlando Magic,102.0,Dallas Mavericks,117.0,16912.0,,
2023-11-06T19:30:00,Monday,Brooklyn Nets,125.0,Milwaukee Bucks,129.0,16912.0,,
2023-11-06T19:30:00,Monday,Miami Heat,108.0,Los Angeles Lakers,107.0,16912.0,,
2023-11-06T19:30:00,Monday,New York Knicks,111.0,Los Angeles Clippers,97.0,16912.0,,
2023-11-06T20:00:00,Monday,Chicago Bulls,130.0,Utah Jazz,113.0,16912.0,,
2023-11-06T20:00:00,Monday,Houston Rockets,122.0,Sacramento Kings,97.0,16912.0,,
2023-11-06T20:00:00,Monday,Minnesota Timberwolves,114.0,Boston Celtics,109.0,16912.0,OT,
2023-11-06T20:00:00,Monday,Oklahoma City Thunder,126.0,Atlanta Hawks,117.0,16912.0,,
2023-11-06T21:00:00,Monday,Denver Nuggets,134.0,New Orleans Pelicans,116.0,16912.0,,
2023-11-08T19:00:00,Wednesday,Charlotte Hornets,116.0,Washington Wizards,132.0,16912.0,,
2023-11-08T19:00:00,Wednesday,Indiana Pacers,134.0,Utah Jazz,118.0,16912.0,,
2023-11-08T19:00:00,Wednesday,Philadelphia 76ers,106.0,Boston Celtics,103.0,16912.0,,
2023-11-08T19:30:00,Wednesday,Brooklyn Nets,100.0,Los Angeles Clippers,93.0,16912.0,,
2023-11-08T19:30:00,Wednesday,New York Knicks,126.0,San Antonio Spurs,105.0,16912.0,,
2023-11-08T20:00:00,Wednesday,Oklahoma City Thunder,128.0,Cleveland Cavaliers,120.0,16912.0,,
2023-11-08T20:00:00,Wednesday,Milwaukee Bucks,120.0,Detroit Pistons,118.0,16912.0,,
2023-11-08T20:00:00,Wednesday,Minnesota Timberwolves,122.0,New Orleans Pelicans,101.0,16912.0,,
2023-11-08T20:00:00,Wednesday,Houston Rockets,128.0,Los Angeles Lakers,94.0,16912.0,,
2023-11-08T20:00:00,Wednesday,Memphis Grizzlies,102.0,Miami Heat,108.0,16912.0,,
2023-11-08T20:00:00,Wednesday,Chicago Bulls,115.0,Phoenix Suns,116.0,16912.0,OT,
2023-11-08T20:30:00,Wednesday,Dallas Mavericks,116.0,Toronto Raptors,127.0,16912.0,,
2023-11-08T22:00:00,Wednesday,Denver Nuggets,108.0,Golden State Warriors,105.0,16912.0,,
2023-11-08T22:00:00,Wednesday,Sacramento Kings,121.0,Portland Trail Blazers,118.0,16912.0,OT,
2023-11-09T19:00:00,Thursday,Indiana Pacers,126.0,Milwaukee Bucks,124.0,16912.0,,
2023-11-09T21:30:00,Thursday,Orlando Magic,119.0,Atlanta Hawks,120.0,16912.0,,
2023-11-10T19:00:00,Friday,Washington Wizards,117.0,Charlotte Hornets,124.0,16912.0,,In-Season Tournament
2023-11-10T19:00:00,Friday,Detroit Pistons,106.0,Philadelphia 76ers,114.0,16912.0,,In-Season Tournament
2023-11-10T19:30:00,Friday,Boston Celtics,121.0,Brooklyn Nets,107.0,16912.0,,In-Season Tournament
2023-11-10T20:00:00,Friday,Houston Rockets,104.0,New Orleans Pelicans,101.0,16912.0,,In-Season Tournament
2023-11-10T20:00:00,Friday,Memphis Grizzlies,121.0,Utah Jazz,127.0,16912.0,,In-Season Tournament
2023-11-10T20:00:00,Friday,San Antonio Spurs,110.0,Minnesota Timberwolves,117.0,16912.0,,In-Season Tournament
2023-11-10T20:30:00,Friday,Dallas Mavericks,144.0,Los Angeles Clippers,126.0,16912.0,,In-Season Tournament
2023-11-10T22:00:00,Friday,Phoenix Suns,119.0,Los Angeles Lakers,122.0,16912.0,,In-Season Tournament
2023-11-10T22:00:00,Friday,Sacramento Kings,105.0,Oklahoma City Thunder,98.0,16912.0,,In-Season Tournament
2023-11-11T18:00:00,Saturday,Orlando Magic,112.0,Milwaukee Bucks,97.0,16912.0,,
2023-11-11T19:00:00,Saturday,Boston Celtics,117.0,Toronto Raptors,94.0,16912.0,,
2023-11-11T19:30:00,Saturday,Atlanta Hawks,109.0,Miami Heat,117.0,16912.0,,
2023-11-11T20:30:00,Saturday,Golden State Warriors,110.0,Cleveland Cavaliers,118.0,16912.0,,
2023-11-12T12:00:00,Sunday,New York Knicks,129.0,Charlotte Hornets,107.0,16912.0,,
2023-11-12T15:00:00,Sunday,Brooklyn Nets,102.0,Washington Wizards,94.0,16912.0,,
2023-11-12T15:30:00,Sunday,Los Angeles Clippers,101.0,Memphis Grizzlies,105.0,16912.0,,
2023-11-12T18:00:00,Sunday,Philadelphia 76ers,137.0,Indiana Pacers,126.0,16912.0,,
2023-11-12T19:00:00,Sunday,Chicago Bulls,119.0,Detroit Pistons,108.0,16912.0,,
2023-11-12T19:00:00,Sunday,Houston Rockets,107.0,Denver Nuggets,104.0,16912.0,,
2023-11-12T19:00:00,Sunday,New Orleans Pelicans,124.0,Dallas Mavericks,136.0,16912.0,,
2023-11-12T19:00:00,Sunday,San Antonio Spurs,113.0,Miami Heat,118.0,16912.0,,
2023-11-12T20:00:00,Sunday,Phoenix Suns,99.0,Oklahoma City Thunder,111.0,16912.0,,
2023-11-12T20:30:00,Sunday,Golden State Warriors,110.0,Minnesota Timberwolves,116.0,16912.0,,
2023-11-12T22:00:00,Sunday,Los Angeles Lakers,116.0,Portland Trail Blazers,110.0,16912.0,,
2023-11-13T19:30:00,Monday,Boston Celtics,114.0,New York Knicks,98.0,16912.0,,
2023-11-13T19:30:00,Monday,Toronto Raptors,111.0,Washington Wizards,107.0,16912.0,,
2023-11-13T20:00:00,Monday,Milwaukee Bucks,118.0,Chicago Bulls,109.0,16912.0,,
2023-11-13T22:00:00,Monday,Sacramento Kings,132.0,Cleveland Cavaliers,120.0,16912.0,,
2023-11-14T19:00:00,Tuesday,Charlotte Hornets,105.0,Miami Heat,111.0,16912.0,,In-Season Tournament
2023-11-14T19:00:00,Tuesday,Detroit Pistons,120.0,Atlanta Hawks,126.0,16912.0,,In-Season Tournament
2023-11-14T19:00:00,Tuesday,Philadelphia 76ers,126.0,Indiana Pacers,132.0,16912.0,,In-Season Tournament
2023-11-14T19:30:00,Tuesday,Brooklyn Nets,124.0,Orlando Magic,104.0,16912.0,,In-Season Tournament
2023-11-14T19:30:00,Tuesday,Oklahoma City Thunder,123.0,San Antonio Spurs,87.0,16912.0,,In-Season Tournament
2023-11-14T20:00:00,Tuesday,New Orleans Pelicans,131.0,Dallas Mavericks,110.0,16912.0,,In-Season Tournament
2023-11-14T21:00:00,Tuesday,Utah Jazz,115.0,Portland Trail Blazers,99.0,16912.0,,In-Season Tournament
2023-11-14T22:00:00,Tuesday,Denver Nuggets,111.0,Los Angeles Clippers,108.0,16912.0,,In-Season Tournament
2023-11-14T22:00:00,Tuesday,Golden State Warriors,101.0,Minnesota Timberwolves,104.0,16912.0,,In-Season Tournament
2023-11-14T22:30:00,Tuesday,Los Angeles Lakers,134.0,Memphis Grizzlies,107.0,16912.0,,In-Season Tournament
2023-11-15T19:00:00,Wednesday,Washington Wizards,117.0,Dallas Mavericks,130.0,16912.0,,
2023-11-15T19:30:00,Wednesday,Atlanta Hawks,114.0,New York Knicks,116.0,16912.0,,
2023-11-15T19:30:00,Wednesday,Philadelphia 76ers,107.0,Boston Celtics,117.0,16912.0,,
2023-11-15T19:30:00,Wednesday,Toronto Raptors,112.0,Milwaukee Bucks,128.0,16912.0,,
2023-11-15T20:00:00,Wednesday,Chicago Bulls,94.0,Orlando Magic,96.0,16912.0,,
2023-11-15T21:00:00,Wednesday,Phoenix Suns,133.0,Minnesota Timberwolves,115.0,16912.0,,
2023-11-15T22:00:00,Wednesday,Los Angeles Lakers,110.0,Sacramento Kings,125.0,16912.0,,
2023-11-15T22:00:00,Wednesday,Portland Trail Blazers,95.0,Cleveland Cavaliers,109.0,16912.0,,
2023-11-16T19:30:00,Thursday,Miami Heat,122.0,Brooklyn Nets,115.0,16912.0,,
2023-11-16T22:00:00,Thursday,Golden State Warriors,109.0,Oklahoma City Thunder,128.0,16912.0,,
2023-11-17T19:00:00,Friday,Charlotte Hornets,99.0,Milwaukee Bucks,130.0,16912.0,,In-Season Tournament
2023-11-17T19:00:00,Friday,Washington Wizards,99.0,New York Knicks,120.0,16912.0,,In-Season Tournament
2023-11-17T19:30:00,Friday,Toronto Raptors,105.0,Boston Celtics,108.0,16912.0,,In-Season Tournament
2023-11-17T19:30:00,Friday,San Antonio Spurs,120.0,Sacramento Kings,129.0,16912.0,,In-Season Tournament
2023-11-17T19:30:00,Friday,Cleveland Cavaliers,108.0,Detroit Pistons,100.0,16912.0,,In-Season Tournament
2023-11-17T19:30:00,Friday,Atlanta Hawks,116.0,Philadelphia 76ers,126.0,16912.0,,In-Season Tournament
2023-11-17T20:00:00,Friday,Chicago Bulls,97.0,Orlando Magic,103.0,16912.0,,In-Season Tournament
2023-11-17T20:00:00,Friday,New Orleans Pelicans,115.0,Denver Nuggets,110.0,16912.0,,In-Season Tournament
2023-11-17T22:00:00,Friday,Portland Trail Blazers,95.0,Los Angeles Lakers,107.0,16912.0,,In-Season Tournament
2023-11-17T22:00:00,Friday,Utah Jazz,128.0,Phoenix Suns,131.0,16912.0,,In-Season Tournament
2023-11-17T22:30:00,Friday,Los Angeles Clippers,106.0,Houston Rockets,100.0,16912.0,,In-Season Tournament
2023-11-18T18:00:00,Saturday,Charlotte Hornets,108.0,New York Knicks,122.0,16912.0,,
2023-11-18T19:00:00,Saturday,New Orleans Pelicans,120.0,Minnesota Timberwolves,121.0,16912.0,,
2023-11-18T20:00:00,Saturday,San Antonio Spurs,108.0,Memphis Grizzlies,120.0,16912.0,,
2023-11-18T20:00:00,Saturday,Chicago Bulls,102.0,Miami Heat,97.0,16912.0,,
2023-11-18T20:00:00,Saturday,Milwaukee Bucks,132.0,Dallas Mavericks,125.0,16912.0,,
2023-11-18T20:30:00,Saturday,Golden State Warriors,123.0,Oklahoma City Thunder,130.0,16912.0,OT,
2023-11-19T15:00:00,Sunday,Brooklyn Nets,99.0,Philadelphia 76ers,121.0,16912.0,,
2023-11-19T16:00:00,Sunday,Toronto Raptors,142.0,Detroit Pistons,113.0,16912.0,,
2023-11-19T17:00:00,Sunday,Indiana Pacers,116.0,Orlando Magic,128.0,16912.0,,
2023-11-19T18:00:00,Sunday,Cleveland Cavaliers,121.0,Denver Nuggets,109.0,16912.0,,
2023-11-19T19:30:00,Sunday,Dallas Mavericks,113.0,Sacramento Kings,129.0,16912.0,,
2023-11-19T20:00:00,Sunday,Utah Jazz,137.0,Phoenix Suns,140.0,16912.0,2OT,
2023-11-19T20:00:00,Sunday,Memphis Grizzlies,100.0,Boston Celtics,102.0,16912.0,,
2023-11-19T21:00:00,Sunday,Portland Trail Blazers,91.0,Oklahoma City Thunder,134.0,16912.0,,
2023-11-19T21:30:00,Sunday,Los Angeles Lakers,105.0,Houston Rockets,104.0,16912.0,,
2023-11-20T19:00:00,Monday,Charlotte Hornets,121.0,Boston Celtics,118.0,16912.0,OT,
2023-11-20T19:00:00,Monday,Detroit Pistons,103.0,Denver Nuggets,107.0,16912.0,,
2023-11-20T19:00:00,Monday,Washington Wizards,129.0,Milwaukee Bucks,142.0,16912.0,,
2023-11-20T20:00:00,Monday,New Orleans Pelicans,129.0,Sacramento Kings,93.0,16912.0,,
2023-11-20T20:00:00,Monday,San Antonio Spurs,99.0,Los Angeles Clippers,124.0,16912.0,,
2023-11-20T20:00:00,Monday,Chicago Bulls,100.0,Miami Heat,118.0,16912.0,,
2023-11-20T20:00:00,Monday,Minnesota Timberwolves,117.0,New York Knicks,100.0,16912.0,,
2023-11-20T22:00:00,Monday,Golden State Warriors,121.0,Houston Rockets,116.0,16912.0,,
2023-11-21T19:00:00,Tuesday,Orlando Magic,126.0,Toronto Raptors,107.0,16912.0,,In-Season Tournament
2023-11-21T19:30:00,Tuesday,Atlanta Hawks,152.0,Indiana Pacers,157.0,16912.0,,In-Season Tournament
2023-11-21T19:30:00,Tuesday,Philadelphia 76ers,119.0,Cleveland Cavaliers,122.0,16912.0,OT,In-Season Tournament
2023-11-21T21:00:00,Tuesday,Phoenix Suns,120.0,Portland Trail Blazers,107.0,16912.0,,In-Season Tournament
2023-11-21T22:00:00,Tuesday,Los Angeles Lakers,131.0,Utah Jazz,99.0,16912.0,,In-Season Tournament
2023-11-22T19:00:00,Wednesday,Charlotte Hornets,117.0,Washington Wizards,114.0,16912.0,,
2023-11-22T19:00:00,Wednesday,Orlando Magic,124.0,Denver Nuggets,119.0,16912.0,,
2023-11-22T19:30:00,Wednesday,Cleveland Cavaliers,96.0,Miami Heat,129.0,16912.0,,
2023-11-22T19:30:00,Wednesday,Indiana Pacers,131.0,Toronto Raptors,132.0,16912.0,,
2023-11-22T19:30:00,Wednesday,Boston Celtics,119.0,Milwaukee Bucks,116.0,16912.0,,
2023-11-22T19:30:00,Wednesday,Atlanta Hawks,147.0,Brooklyn Nets,145.0,16912.0,OT,
2023-11-22T20:00:00,Wednesday,Houston Rockets,111.0,Memphis Grizzlies,91.0,16912.0,,
2023-11-22T20:00:00,Wednesday,Minnesota Timberwolves,112.0,Philadelphia 76ers,99.0,16912.0,,
2023-11-22T20:00:00,Wednesday,New Orleans Pelicans,117.0,Sacramento Kings,112.0,16912.0,,
2023-11-22T20:00:00,Wednesday,Oklahoma City Thunder,116.0,Chicago Bulls,102.0,16912.0,,
2023-11-22T20:00:00,Wednesday,San Antonio Spurs,102.0,Los Angeles Clippers,109.0,16912.0,,
2023-11-22T22:00:00,Wednesday,Phoenix Suns,123.0,Golden State Warriors,115.0,16912.0,,
2023-11-22T22:00:00,Wednesday,Portland Trail Blazers,121.0,Utah Jazz,105.0,16912.0,,
2023-11-22T22:30:00,Wednesday,Los Angeles Lakers,101.0,Dallas Mavericks,104.0,16912.0,,
2023-11-24T14:30:00,Friday,Orlando Magic,113.0,Boston Celtics,96.0,16912.0,,In-Season Tournament
2023-11-24T17:00:00,Friday,Memphis Grizzlies,89.0,Phoenix Suns,110.0,16912.0,,In-Season Tournament
2023-11-24T19:30:00,Friday,Toronto Raptors,121.0,Chicago Bulls,108.0,16912.0,,In-Season Tournament
2023-11-24T19:30:00,Friday,New York Knicks,100.0,Miami Heat,98.0,16912.0,,In-Season Tournament
2023-11-24T20:00:00,Friday,Milwaukee Bucks,131.0,Washington Wizards,128.0,16912.0,,In-Season Tournament
2023-11-24T20:00:00,Friday,Minnesota Timberwolves,111.0,Sacramento Kings,124.0,16912.0,,In-Season Tournament
2023-11-24T20:00:00,Friday,Houston Rockets,105.0,Denver Nuggets,86.0,16912.0,,In-Season Tournament
2023-11-24T20:00:00,Friday,Indiana Pacers,136.0,Detroit Pistons,113.0,16912.0,,In-Season Tournament
2023-11-24T22:00:00,Friday,Golden State Warriors,118.0,San Antonio Spurs,112.0,16912.0,,In-Season Tournament
2023-11-24T22:30:00,Friday,Los Angeles Clippers,106.0,New Orleans Pelicans,116.0,16912.0,,In-Season Tournament
2023-11-25T17:00:00,Saturday,Oklahoma City Thunder,123.0,Philadelphia 76ers,127.0,16912.0,,
