date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
2019-11-05T20:00:00,Tuesday,Chicago Bulls,112,Los Angeles Lakers,118,17732.0,,
2019-11-05T20:00:00,Tuesday,Oklahoma City Thunder,102,Orlando Magic,94,17732.0,,
2019-11-05T21:00:00,Tuesday,Denver Nuggets,109,Miami Heat,89,17732.0,,
2019-11-06T19:00:00,Wednesday,Detroit Pistons,122,New York Knicks,102,17732.0,,
2019-11-06T19:00:00,Wednesday,Indiana Pacers,121,Washington Wizards,106,17732.0,,
2019-11-06T19:30:00,Wednesday,Toronto Raptors,124,Sacramento Kings,120,17732.0,,
2019-11-06T19:30:00,Wednesday,Atlanta Hawks,93,Chicago Bulls,113,17732.0,,
2019-11-06T19:30:00,Wednesday,Houston Rockets,129,Golden State Warriors,112,17732.0,,
2019-11-06T20:00:00,Wednesday,Memphis Grizzlies,137,Minnesota Timberwolves,121,17732.0,,
2019-11-06T20:30:00,Wednesday,Dallas Mavericks,107,Orlando Magic,106,17732.0,,
2019-11-06T21:00:00,Wednesday,Utah Jazz,106,Philadelphia 76ers,104,17732.0,,
2019-11-06T22:00:00,Wednesday,Los Angeles Clippers,124,Milwaukee Bucks,129,17732.0,,
2019-11-07T20:00:00,Thursday,Charlotte Hornets,87,Boston Celtics,108,17732.0,,
2019-11-07T20:30:00,Thursday,San Antonio Spurs,121,Oklahoma City Thunder,112,17732.0,,
2019-11-07T21:00:00,Thursday,Phoenix Suns,108,Miami Heat,124,17732.0,,
2019-11-07T22:30:00,Thursday,Los Angeles Clippers,107,Portland Trail Blazers,101,17732.0,,
2019-11-08T19:00:00,Friday,Indiana Pacers,112,Detroit Pistons,106,17732.0,,
2019-11-08T19:00:00,Friday,Orlando Magic,118,Memphis Grizzlies,86,17732.0,,
2019-11-08T19:00:00,Friday,Washington Wizards,100,Cleveland Cavaliers,113,17732.0,,
2019-11-08T19:30:00,Friday,Atlanta Hawks,109,Sacramento Kings,121,17732.0,,
2019-11-08T20:00:00,Friday,Minnesota Timberwolves,125,Golden State Warriors,119,17732.0,OT,
2019-11-08T20:00:00,Friday,New Orleans Pelicans,104,Toronto Raptors,122,17732.0,,
2019-11-08T20:30:00,Friday,Dallas Mavericks,102,New York Knicks,106,17732.0,,
2019-11-08T21:00:00,Friday,Utah Jazz,103,Milwaukee Bucks,100,17732.0,,
2019-11-08T21:00:00,Friday,Denver Nuggets,100,Philadelphia 76ers,97,17732.0,,
2019-11-08T22:00:00,Friday,Portland Trail Blazers,115,Brooklyn Nets,119,17732.0,,
2019-11-08T22:30:00,Friday,Los Angeles Lakers,95,Miami Heat,80,17732.0,,
2019-11-09T17:00:00,Saturday,San Antonio Spurs,115,Boston Celtics,135,17732.0,,
2019-11-09T19:00:00,Saturday,Charlotte Hornets,110,New Orleans Pelicans,115,17732.0,,
2019-11-09T20:00:00,Saturday,Chicago Bulls,94,Houston Rockets,117,17732.0,,
2019-11-09T20:00:00,Saturday,Memphis Grizzlies,122,Dallas Mavericks,138,17732.0,,
2019-11-09T20:00:00,Saturday,Oklahoma City Thunder,114,Golden State Warriors,108,17732.0,,
2019-11-10T15:30:00,Sunday,Minnesota Timberwolves,98,Denver Nuggets,100,17732.0,OT,
2019-11-10T18:00:00,Sunday,Orlando Magic,102,Indiana Pacers,109,17732.0,,
2019-11-10T18:00:00,Sunday,Philadelphia 76ers,114,Charlotte Hornets,106,17732.0,,
2019-11-10T19:00:00,Sunday,Oklahoma City Thunder,119,Milwaukee Bucks,121,17732.0,,
2019-11-10T19:30:00,Sunday,New York Knicks,87,Cleveland Cavaliers,108,17732.0,,
2019-11-10T20:00:00,Sunday,Phoenix Suns,138,Brooklyn Nets,112,17732.0,,
2019-11-10T21:00:00,Sunday,Portland Trail Blazers,124,Atlanta Hawks,113,17732.0,OT,
2019-11-10T21:30:00,Sunday,Los Angeles Lakers,104,Toronto Raptors,113,17732.0,,
2019-11-11T19:00:00,Monday,Detroit Pistons,114,Minnesota Timberwolves,120,17732.0,,
2019-11-11T19:30:00,Monday,San Antonio Spurs,109,Memphis Grizzlies,113,17732.0,,
2019-11-11T19:30:00,Monday,Boston Celtics,116,Dallas Mavericks,106,17732.0,,
2019-11-11T20:00:00,Monday,New Orleans Pelicans,116,Houston Rockets,122,17732.0,,
2019-11-11T22:30:00,Monday,Golden State Warriors,108,Utah Jazz,122,17732.0,,
2019-11-11T22:30:00,Monday,Los Angeles Clippers,98,Toronto Raptors,88,17732.0,,
2019-11-12T19:00:00,Tuesday,Indiana Pacers,111,Oklahoma City Thunder,85,17732.0,,
2019-11-12T19:00:00,Tuesday,Philadelphia 76ers,98,Cleveland Cavaliers,97,17732.0,,
2019-11-12T19:30:00,Tuesday,Miami Heat,117,Detroit Pistons,108,17732.0,,
2019-11-12T20:00:00,Tuesday,Chicago Bulls,120,New York Knicks,102,17732.0,,
2019-11-12T21:00:00,Tuesday,Utah Jazz,119,Brooklyn Nets,114,17732.0,,
2019-11-12T21:00:00,Tuesday,Denver Nuggets,121,Atlanta Hawks,125,17732.0,,
2019-11-12T21:00:00,Tuesday,Phoenix Suns,115,Los Angeles Lakers,123,17732.0,,
2019-11-12T22:00:00,Tuesday,Sacramento Kings,107,Portland Trail Blazers,99,17732.0,,
2019-11-13T19:00:00,Wednesday,Charlotte Hornets,117,Memphis Grizzlies,119,17732.0,,
2019-11-13T19:00:00,Wednesday,Orlando Magic,112,Philadelphia 76ers,97,17732.0,,
2019-11-13T19:30:00,Wednesday,Boston Celtics,140,Washington Wizards,133,17732.0,,
2019-11-13T19:30:00,Wednesday,Houston Rockets,102,Los Angeles Clippers,93,17732.0,,
