date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
2019-10-23T21:00:00,Utah Jazz Basic and Advanced Stats Table,Georges Niang,Reserve,2.033333333333333,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,2.0
2019-10-23T21:00:00,Utah Jazz Basic and Advanced Stats Table,Ed Davis,Reserve,10.166666666666666,0,3,0.0,0,0,,2,2,1.0,3,3,6,0,0,2,1,5,2,-8.0
2019-10-23T21:00:00,Utah Jazz Basic and Advanced Stats Table,Jeff Green,Reserve,16.266666666666666,1,4,0.25,1,3,0.333,2,4,0.5,0,2,2,1,0,1,1,2,5,-4.0
2019-10-23T21:00:00,Utah Jazz Basic and Advanced Stats Table,Emmanuel Mudiay,Reserve,22.366666666666667,6,11,0.545,0,1,0.0,0,0,,0,2,2,5,0,1,0,2,12,4.0
2019-10-23T21:00:00,Utah Jazz Basic and Advanced Stats Table,Joe Ingles,Reserve,32.53333333333333,3,8,0.375,1,4,0.25,0,0,,0,4,4,1,0,0,1,2,7,8.0
2019-10-23T21:00:00,Utah Jazz Basic and Advanced Stats Table,Bojan Bogdanović,Starter,23.383333333333333,6,14,0.429,1,5,0.2,3,3,1.0,0,3,3,0,1,0,0,2,16,2.0
2019-10-23T21:00:00,Utah Jazz Basic and Advanced Stats Table,Mike Conley,Starter,26.433333333333334,1,16,0.063,0,6,0.0,3,4,0.75,0,0,0,5,1,0,2,5,5,1.0
2019-10-23T21:00:00,Utah Jazz Basic and Advanced Stats Table,Donovan Mitchell,Starter,36.6,14,22,0.636,1,3,0.333,3,4,0.75,5,7,12,3,1,0,1,4,32,9.0
2019-10-23T21:00:00,Utah Jazz Basic and Advanced Stats Table,Rudy Gobert,Starter,37.61666666666667,3,6,0.5,0,0,,1,3,0.333,3,11,14,0,0,1,4,5,7,13.0
2019-10-23T21:00:00,Oklahoma City Thunder Basic and Advanced Stats Table,Mike Muscala,Reserve,15.25,0,4,0.0,0,3,0.0,4,4,1.0,0,4,4,2,0,2,1,2,4,1.0
2019-10-23T21:00:00,Oklahoma City Thunder Basic and Advanced Stats Table,Darius Bazley,Reserve,19.316666666666663,0,3,0.0,0,1,0.0,0,0,,0,3,3,0,0,1,1,2,0,-6.0
2019-10-23T21:00:00,Oklahoma City Thunder Basic and Advanced Stats Table,Hamidou Diallo,Reserve,23.383333333333333,5,8,0.625,0,1,0.0,2,4,0.5,1,2,3,0,1,0,3,3,12,-1.0
2019-10-23T21:00:00,Oklahoma City Thunder Basic and Advanced Stats Table,Dennis Schröder,Reserve,30.5,1,8,0.125,1,3,0.333,0,0,,1,5,6,4,0,0,2,2,3,-3.0
2019-10-23T21:00:00,Oklahoma City Thunder Basic and Advanced Stats Table,Terrance Ferguson,Starter,23.383333333333333,0,0,,0,0,,2,2,1.0,1,1,2,1,0,0,1,2,2,-9.0
2019-10-23T21:00:00,Oklahoma City Thunder Basic and Advanced Stats Table,Steven Adams,Starter,27.45,1,8,0.125,0,0,,1,6,0.167,3,8,11,2,1,0,2,4,3,-1.0
2019-10-23T21:00:00,Oklahoma City Thunder Basic and Advanced Stats Table,Danilo Gallinari,Starter,28.466666666666665,7,13,0.538,2,5,0.4,5,5,1.0,0,7,7,2,1,0,1,2,21,7.0
2019-10-23T21:00:00,Oklahoma City Thunder Basic and Advanced Stats Table,Chris Paul,Starter,30.5,7,15,0.467,4,7,0.571,4,4,1.0,1,7,8,3,1,0,1,4,22,4.0
2019-10-23T21:00:00,Oklahoma City Thunder Basic and Advanced Stats Table,Shai Gilgeous-Alexander,Starter,36.6,10,23,0.435,3,7,0.429,3,6,0.5,0,2,2,1,1,0,1,2,26,-12.0
2019-10-23T21:00:00,Oklahoma City Thunder Basic and Advanced Stats Table,Nerlens Noel,Reserve,4.066666666666666,1,1,1.0,0,0,,0,0,,0,2,2,0,0,1,0,0,2,-5.0
2019-10-23T22:00:00,Phoenix Suns Basic and Advanced Stats Table,Cheick Diallo,Reserve,1.0166666666666666,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,0,2,2,-1.0
2019-10-23T22:00:00,Denver Nuggets Basic and Advanced Stats Table,Mason Plumlee,Reserve,19.316666666666663,2,4,0.5,0,0,,1,2,0.5,3,1,4,5,1,0,0,2,5,-8.0
2019-10-23T22:00:00,Denver Nuggets Basic and Advanced Stats Table,Jerami Grant,Reserve,20.33333333333333,3,4,0.75,2,2,1.0,1,2,0.5,1,1,2,1,0,0,1,1,9,8.0
2019-10-23T22:00:00,Denver Nuggets Basic and Advanced Stats Table,Nikola Jokić,Starter,23.383333333333333,8,14,0.571,3,5,0.6,1,2,0.5,4,9,13,2,0,0,4,4,20,14.0
2019-10-23T22:00:00,Phoenix Suns Basic and Advanced Stats Table,Jared Harper,Reserve,1.0166666666666666,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1.0
2019-10-23T22:00:00,Denver Nuggets Basic and Advanced Stats Table,Paul Millsap,Starter,31.516666666666666,3,8,0.375,3,4,0.75,2,2,1.0,0,5,5,2,3,2,2,3,11,4.0
2019-10-23T22:00:00,Denver Nuggets Basic and Advanced Stats Table,Jamal Murray,Starter,33.55,4,14,0.286,3,6,0.5,3,4,0.75,1,4,5,6,1,0,2,1,14,9.0
2019-10-23T22:00:00,Denver Nuggets Basic and Advanced Stats Table,Gary Harris,Starter,35.583333333333336,3,11,0.273,1,5,0.2,1,1,1.0,0,3,3,0,2,0,5,5,8,5.0
2019-10-23T22:00:00,Denver Nuggets Basic and Advanced Stats Table,Torrey Craig,Reserve,16.266666666666666,4,6,0.667,2,3,0.667,0,0,,1,5,6,2,1,1,1,4,10,2.0
2019-10-23T22:00:00,Denver Nuggets Basic and Advanced Stats Table,Will Barton,Starter,31.516666666666666,3,8,0.375,2,3,0.667,11,12,0.917,1,4,5,2,2,1,1,1,19,2.0
2019-10-23T22:00:00,Denver Nuggets Basic and Advanced Stats Table,Monte Morris,Reserve,14.233333333333333,2,6,0.333,0,0,,2,2,1.0,0,1,1,3,0,0,1,0,6,-1.0
2019-10-23T22:00:00,Portland Trail Blazers Basic and Advanced Stats Table,Zach Collins,Starter,30.5,4,9,0.444,0,2,0.0,0,0,,1,4,5,0,0,2,2,3,8,2.0
2019-10-23T22:00:00,Portland Trail Blazers Basic and Advanced Stats Table,Damian Lillard,Starter,37.61666666666667,10,21,0.476,3,10,0.3,9,10,0.9,1,3,4,8,1,0,3,3,32,0.0
2019-10-23T22:00:00,Portland Trail Blazers Basic and Advanced Stats Table,CJ McCollum,Starter,35.583333333333336,5,18,0.278,2,4,0.5,0,0,,2,1,3,3,1,0,5,3,12,-10.0
2019-10-23T22:00:00,Portland Trail Blazers Basic and Advanced Stats Table,Rodney Hood,Starter,31.516666666666666,5,10,0.5,2,5,0.4,1,1,1.0,1,4,5,1,0,0,2,4,13,3.0
2019-10-23T22:00:00,Portland Trail Blazers Basic and Advanced Stats Table,Hassan Whiteside,Starter,26.433333333333334,6,7,0.857,0,0,,4,4,1.0,5,14,19,0,0,2,4,4,16,0.0
2019-10-23T22:00:00,Portland Trail Blazers Basic and Advanced Stats Table,Kent Bazemore,Reserve,24.4,1,7,0.143,0,3,0.0,2,2,1.0,1,1,2,0,5,0,0,2,4,-11.0
2019-10-23T22:00:00,Portland Trail Blazers Basic and Advanced Stats Table,Mario Hezonja,Reserve,18.3,0,3,0.0,0,1,0.0,2,2,1.0,0,4,4,0,0,0,0,2,2,-7.0
2019-10-23T22:00:00,Portland Trail Blazers Basic and Advanced Stats Table,Anthony Tolliver,Reserve,13.216666666666669,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,0,-9.0
2019-10-23T22:00:00,Portland Trail Blazers Basic and Advanced Stats Table,Anfernee Simons,Reserve,12.2,2,7,0.286,0,2,0.0,1,2,0.5,0,0,0,0,2,0,1,2,5,-5.0
2019-10-23T22:00:00,Portland Trail Blazers Basic and Advanced Stats Table,Skal Labissière,Reserve,10.166666666666666,3,4,0.75,0,0,,2,2,1.0,2,4,6,1,0,0,2,1,8,-3.0
2019-10-23T22:00:00,Denver Nuggets Basic and Advanced Stats Table,Malik Beasley,Reserve,13.216666666666669,2,6,0.333,2,4,0.5,0,0,,0,1,1,1,1,0,2,2,6,5.0
2019-10-23T22:00:00,Phoenix Suns Basic and Advanced Stats Table,Elie Okobo,Reserve,1.0166666666666666,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,-1.0
